loss,accuracy,lr
0.7805834412574768,0.5,0.001
0.5734635591506958,0.7142857313156128,0.001
0.4114433825016022,1.0,0.001
0.25536754727363586,1.0,0.001
0.1303309053182602,1.0,0.001
0.0663587674498558,1.0,0.001
0.03915070742368698,1.0,0.001
0.026705162599682808,1.0,0.001
0.019345495849847794,1.0,0.001
0.014993034303188324,1.0,0.001
0.012117006815969944,1.0,0.001
0.009988220408558846,1.0,0.001
0.008368109352886677,1.0,0.001
0.007149421609938145,1.0,0.001
0.006205118261277676,1.0,0.001
0.005417473614215851,1.0,0.001
0.004731331951916218,1.0,0.001
0.004135697614401579,1.0,0.001
0.0036428815219551325,1.0,0.001
0.0032428281847387552,1.0,0.001
0.0029212587978690863,1.0,0.001
0.0026473626494407654,1.0,0.001
0.002410624176263809,1.0,0.001
0.0022068023681640625,1.0,0.001
0.0020277167204767466,1.0,0.001
0.0018701854860410094,1.0,0.001
0.0017310617258772254,1.0,0.001
0.0016088868724182248,1.0,0.001
0.0015007983893156052,1.0,0.001
0.001403445960022509,1.0,0.001
0.0013150301529094577,1.0,0.001
0.0012337296502664685,1.0,0.001
0.0011592375813052058,1.0,0.001
0.0010918655898422003,1.0,0.001
0.0010308254277333617,1.0,0.001
0.0009748129523359239,1.0,0.001
0.0009234353201463819,1.0,0.001
0.0008769058622419834,1.0,0.001
0.0008345936075784266,1.0,0.001
0.0007963171228766441,1.0,0.001
0.0007615381036885083,1.0,0.001
0.0007297306437976658,1.0,0.001
0.0007005126099102199,1.0,0.001
0.0006732815527357161,1.0,0.001
0.0006478807190433145,1.0,0.001
0.0006242339732125401,1.0,0.001
0.0006021842709742486,1.0,0.001
0.0005816511693410575,1.0,0.001
0.0005625371704809368,1.0,0.001
0.000544642738532275,1.0,0.001
0.0005278871976770461,1.0,0.001
0.0005122324218973517,1.0,0.001
0.0004975339397788048,1.0,0.001
0.0004837451851926744,1.0,0.001
0.00047078970237635076,1.0,0.001
0.0004585356800816953,1.0,0.001
0.00044697042903862894,1.0,0.001
0.0004360003804322332,1.0,0.001
0.00042560018482618034,1.0,0.001
0.00041566346772015095,1.0,0.001
0.0004062242805957794,1.0,0.001
0.0003972060512751341,1.0,0.001
0.0003886385529767722,1.0,0.001
0.00038045799010433257,1.0,0.001
0.0003726345603354275,1.0,0.001
0.00036514707608148456,1.0,0.001
0.00035796992597170174,1.0,0.001
0.00035104367998428643,1.0,0.001
0.00034434275585226715,1.0,0.001
0.00033790545421652496,1.0,0.001
0.00033166378852911294,1.0,0.001
0.00032564744469709694,1.0,0.001
0.0003198267368134111,1.0,0.001
0.00031421449966728687,1.0,0.001
0.00030878084362484515,1.0,0.001
0.0003035641275346279,1.0,0.001
0.00029851324507035315,1.0,0.001
0.000293598510324955,1.0,0.001
0.0002888794697355479,1.0,0.001
0.00028430079692043364,1.0,0.001
0.0002798369969241321,1.0,0.001
0.0002755220921244472,1.0,0.001
0.00027133055846206844,1.0,0.001
0.000267245399300009,1.0,0.001
0.00026330063701607287,1.0,0.001
0.00025947074755094945,1.0,0.001
0.0002557174302637577,1.0,0.001
0.00025209173327311873,1.0,0.001
0.0002485638833604753,1.0,0.001
0.0002451338805258274,1.0,0.001
0.00024179746105801314,1.0,0.001
0.00023854187747929245,1.0,0.001
0.00023535010404884815,1.0,0.001
0.0002322561776963994,1.0,0.001
0.00022921331401448697,1.0,0.001
0.00022625981364399195,1.0,0.001
0.00022335736139211804,1.0,0.001
0.00022056979651097208,1.0,0.001
0.00021779497910756618,1.0,0.001
0.00021508822101168334,1.0,0.001
0.0002124495804309845,1.0,0.001
0.00020986622257623821,1.0,0.001
0.00020734244026243687,1.0,0.001
0.0002048569731414318,1.0,0.001
0.0002024353016167879,1.0,0.001
0.00020005620899610221,1.0,0.001
0.00019773244275711477,1.0,0.001
0.00019544691895134747,1.0,0.001
0.0001931997248902917,1.0,0.001
0.00019100784265901893,1.0,0.001
0.00018885851022787392,1.0,0.001
0.00018674750754144043,1.0,0.001
0.0001846492086770013,1.0,0.001
0.00018261904187966138,1.0,0.001
0.0001806143845897168,1.0,0.001
0.00017864376422949135,1.0,0.001
0.00017671995738055557,1.0,0.001
0.00017480466340202838,1.0,0.001
0.0001729489304125309,1.0,0.001
0.00017110597400460392,1.0,0.001
0.00016931835853029042,1.0,0.001
0.0001675435050856322,1.0,0.001
0.0001658069231780246,1.0,0.001
0.00016409163072239608,1.0,0.001
0.0001623933931114152,1.0,0.001
0.0001607291487744078,1.0,0.001
0.0001590819301782176,1.0,0.001
0.0001574815541971475,1.0,0.001
0.00015588542737532407,1.0,0.001
0.00015433183580171317,1.0,0.001
0.0001527952990727499,1.0,0.001
0.00015128427185118198,1.0,0.001
0.00014980303240008652,1.0,0.001
0.0001483218075009063,1.0,0.001
0.0001468703558202833,1.0,0.001
0.00014544444275088608,1.0,0.001
0.00014403981913346797,1.0,0.001
0.00014265220670495182,1.0,0.001
0.00014130289491731673,1.0,0.001
0.00013996211055200547,1.0,0.001
0.00013864258653484285,1.0,0.001
0.00013734861568082124,1.0,0.001
0.0001360546302748844,1.0,0.001
0.00013478618348017335,1.0,0.001
0.00013353476242627949,1.0,0.001
0.00013230886543169618,1.0,0.001
0.00013108296843711287,1.0,0.001
0.00012988688831683248,1.0,0.001
0.00012870780483353883,1.0,0.001
0.0001275287359021604,1.0,0.001
0.00012637519103009254,1.0,0.001
0.00012524293561000377,1.0,0.001
0.00012412769137881696,1.0,0.001
0.00012300819798838347,1.0,0.001
0.00012193126894999295,1.0,0.001
0.00012085008347639814,1.0,0.001
0.00011978590919170529,1.0,0.001
0.00011874303163494915,1.0,0.001
0.00011770440323743969,1.0,0.001
0.00011669557716231793,1.0,0.001
0.00011569098569452763,1.0,0.001
0.00011470769095467404,1.0,0.001
0.00011373717279639095,1.0,0.001
0.00011275811993982643,1.0,0.001
0.00011183015158167109,1.0,0.001
0.00011088090104749426,1.0,0.001
0.00010996996570611373,1.0,0.001
0.00010904624650720507,1.0,0.001
0.0001081778755178675,1.0,0.001
0.00010728395136538893,1.0,0.001
0.00010640280379448086,1.0,0.001
0.00010553442552918568,1.0,0.001
0.00010468732943991199,1.0,0.001
0.00010384873894508928,1.0,0.001
0.00010300589201506227,1.0,0.001
0.00010219284740742296,1.0,0.001
0.00010138831567019224,1.0,0.001
0.0001005710000754334,1.0,0.001
9.979201422538608e-05,1.0,0.001
9.900875011226162e-05,1.0,0.001
9.824678272707388e-05,1.0,0.0005
9.786792361410335e-05,1.0,0.0005
9.748480806592852e-05,1.0,0.0005
9.711020538816229e-05,1.0,0.0005
9.673135355114937e-05,1.0,0.0005
9.636952017899603e-05,1.0,0.0005
9.598639735486358e-05,1.0,0.0005
9.564584615873173e-05,1.0,0.0005
9.52584741753526e-05,1.0,0.0005
9.489664807915688e-05,1.0,0.0005
9.45560896070674e-05,1.0,0.0005
9.419851994607598e-05,1.0,0.0005
9.383243013871834e-05,1.0,0.0005
9.349613537779078e-05,1.0,0.0005
9.313855844084173e-05,1.0,0.0005
9.27937580854632e-05,1.0,0.0005
9.244895045412704e-05,1.0,0.0005
9.21169194043614e-05,1.0,0.0005
9.176359890261665e-05,1.0,0.0005
9.14230477064848e-05,1.0,0.0005
9.106972720474005e-05,1.0,0.0005
9.075045818462968e-05,1.0,0.0005
9.042694000527263e-05,1.0,0.0005
9.008638880914077e-05,1.0,0.0005
8.974158117780462e-05,1.0,0.0005
8.941806299844757e-05,1.0,0.0005
8.90775045263581e-05,1.0,0.0005
8.874972991179675e-05,1.0,0.0005
8.843897376209497e-05,1.0,0.0005
8.810693543637171e-05,1.0,0.0005
8.778340270509943e-05,1.0,0.0005
8.745988452574238e-05,1.0,0.0005
8.714063005754724e-05,1.0,0.0005
8.681283361511305e-05,1.0,0.0005
8.649782103020698e-05,1.0,0.0005
8.618282299721614e-05,1.0,0.0005
8.587632328271866e-05,1.0,0.0005
8.556130342185497e-05,1.0,0.0005
8.524204167770222e-05,1.0,0.0005
8.492702181683853e-05,1.0,0.0005
8.463329140795395e-05,1.0,0.0005
8.431828609900549e-05,1.0,0.0005
8.401179366046563e-05,1.0,0.0005
8.370528667001054e-05,1.0,0.0005
8.339878695551306e-05,1.0,0.0005
8.30922945169732e-05,1.0,0.0005
8.2798556832131e-05,1.0,0.0005
8.249632082879543e-05,1.0,0.0005
8.219407027354464e-05,1.0,0.0005
8.190459629986435e-05,1.0,0.0005
8.160661673173308e-05,1.0,0.00025
8.146187610691413e-05,1.0,0.00025
8.131715003401041e-05,1.0,0.00025
8.116814569802955e-05,1.0,0.00025
8.101916318992153e-05,1.0,0.00025
8.087016612989828e-05,1.0,0.00025
8.072116906987503e-05,1.0,0.00025
8.05764357210137e-05,1.0,0.00025
8.043169509619474e-05,1.0,0.00025
8.029548189369962e-05,1.0,0.00025
8.015074126888067e-05,1.0,0.00025
8.001026435522363e-05,1.0,0.00025
7.986551645444706e-05,1.0,0.00025
7.971653394633904e-05,1.0,0.00025
7.957179332152009e-05,1.0,0.00025
7.941429066704586e-05,1.0,0.00025
7.928658305900171e-05,1.0,0.00025
7.914184971014038e-05,1.0,0.00025
7.899710908532143e-05,1.0,0.00025
7.886514504207298e-05,1.0,0.00025
7.872892456362024e-05,1.0,0.00025
7.857566379243508e-05,1.0,0.00025
7.843093044357374e-05,1.0,0.00025
7.82904535299167e-05,1.0,0.00025
7.814996934030205e-05,1.0,0.00025
7.800949242664501e-05,1.0,0.00025
7.786049536662176e-05,1.0,0.00025
7.77242676122114e-05,1.0,0.00025
7.758378342259675e-05,1.0,0.00025
7.743480091448873e-05,1.0,0.00025
7.730709330644459e-05,1.0,0.00025
7.716660911682993e-05,1.0,0.00025
7.70218757679686e-05,1.0,0.00025
7.689416815992445e-05,1.0,0.00025
7.67409146646969e-05,1.0,0.00025
7.660894334549084e-05,1.0,0.00025
7.647271559108049e-05,1.0,0.00025
7.632798224221915e-05,1.0,0.00025
7.61874980526045e-05,1.0,0.00025
7.605979044456035e-05,1.0,0.00025
7.591505709569901e-05,1.0,0.00025
7.579160592285916e-05,1.0,0.00025
